Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
master Store,Chrome 126.0.0.0,,,04-07-2024 11:11:17,04-07-2024 11:11:42,24.921s,PASSED
,,,,,,,
Test Cases/login mascot/login,Chrome 126.0.0.0,,,04-07-2024 11:11:17,04-07-2024 11:11:30,13.071s,PASSED
"a = ""http://206.189.158.91:8080/sparepart-factory-cms/login.zul""",Chrome 126.0.0.0,,,04-07-2024 11:11:18,04-07-2024 11:11:18,0.008s,PASSED
openBrowser(a),Chrome 126.0.0.0,,,04-07-2024 11:11:18,04-07-2024 11:11:25,6.999s,PASSED
"setText(findTestObject(""login mascot/input username""), UserName)",Chrome 126.0.0.0,,,04-07-2024 11:11:25,04-07-2024 11:11:26,0.890s,PASSED
"setText(findTestObject(""login mascot/input password""), Password)",Chrome 126.0.0.0,,,04-07-2024 11:11:26,04-07-2024 11:11:26,0.837s,PASSED
"click(findTestObject(""login mascot/klik button login""))",Chrome 126.0.0.0,,,04-07-2024 11:11:26,04-07-2024 11:11:27,0.637s,PASSED
delay(3),Chrome 126.0.0.0,,,04-07-2024 11:11:27,04-07-2024 11:11:30,3.062s,PASSED
,,,,,,,
Test Cases/User Management - Master Store/Open Master Store,Chrome 126.0.0.0,,,04-07-2024 11:11:30,04-07-2024 11:11:42,11.562s,PASSED
"a = ""http://206.189.158.91:8080/sparepart-factory-cms/login.zul""",Chrome 126.0.0.0,,,04-07-2024 11:11:30,04-07-2024 11:11:30,0.005s,PASSED
openBrowser(a),Chrome 126.0.0.0,,,04-07-2024 11:11:30,04-07-2024 11:11:35,4.392s,PASSED
"setText(findTestObject(""login mascot/input username""), UserName)",Chrome 126.0.0.0,,,04-07-2024 11:11:35,04-07-2024 11:11:36,0.858s,PASSED
"setText(findTestObject(""login mascot/input password""), Password)",Chrome 126.0.0.0,,,04-07-2024 11:11:36,04-07-2024 11:11:37,0.826s,PASSED
"click(findTestObject(""login mascot/klik button login""))",Chrome 126.0.0.0,,,04-07-2024 11:11:37,04-07-2024 11:11:37,0.413s,PASSED
delay(1),Chrome 126.0.0.0,,,04-07-2024 11:11:37,04-07-2024 11:11:38,1.014s,PASSED
"click(findTestObject(""User Management - Master Store/Master Store2""))",Chrome 126.0.0.0,,,04-07-2024 11:11:38,04-07-2024 11:11:39,0.822s,PASSED
delay(3),Chrome 126.0.0.0,,,04-07-2024 11:11:39,04-07-2024 11:11:42,3.012s,PASSED
