Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
master Role and Menu,Chrome 126.0.0.0,,,04-07-2024 13:42:08,04-07-2024 13:42:26,17.855s,PASSED
,,,,,,,
Test Cases/User Management - Role and Menu/Open Role and Menu,Chrome 126.0.0.0,,,04-07-2024 13:42:08,04-07-2024 13:42:26,17.614s,PASSED
"a = ""http://206.189.158.91:8080/sparepart-factory-cms/login.zul""",Chrome 126.0.0.0,,,04-07-2024 13:42:09,04-07-2024 13:42:09,0.003s,PASSED
openBrowser(a),Chrome 126.0.0.0,,,04-07-2024 13:42:09,04-07-2024 13:42:21,12.680s,PASSED
"setText(findTestObject(""login mascot/input username""), UserName)",Chrome 126.0.0.0,,,04-07-2024 13:42:21,04-07-2024 13:42:22,0.861s,PASSED
"setText(findTestObject(""login mascot/input password""), Password)",Chrome 126.0.0.0,,,04-07-2024 13:42:22,04-07-2024 13:42:23,0.709s,PASSED
"click(findTestObject(""login mascot/klik button login""))",Chrome 126.0.0.0,,,04-07-2024 13:42:23,04-07-2024 13:42:23,0.452s,PASSED
delay(2),Chrome 126.0.0.0,,,04-07-2024 13:42:23,04-07-2024 13:42:25,2.050s,PASSED
"click(findTestObject(""User Management - Role and Menu/Role and Menu2""))",Chrome 126.0.0.0,,,04-07-2024 13:42:25,04-07-2024 13:42:26,0.432s,PASSED
