Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
wiki bob marley,Chrome 126.0.0.0,,,09-07-2024 13:55:41,09-07-2024 13:56:16,35.787s,PASSED
,,,,,,,
Test Cases/Wikipedia/Open Bob Marley,Chrome 126.0.0.0,,,09-07-2024 13:55:41,09-07-2024 13:56:02,21.026s,PASSED
"openBrowser(""https://www.wikipedia.org/"")",Chrome 126.0.0.0,,,09-07-2024 13:55:41,09-07-2024 13:55:50,9.322s,PASSED
"setText(findTestObject(""Wikipedia/box wikipedia search""), ""Bob Marley"")",Chrome 126.0.0.0,,,09-07-2024 13:55:50,09-07-2024 13:55:51,0.837s,PASSED
delay(3),Chrome 126.0.0.0,,,09-07-2024 13:55:51,09-07-2024 13:55:54,3.046s,PASSED
"click(findTestObject(""Wikipedia/klik button search""))",Chrome 126.0.0.0,,,09-07-2024 13:55:54,09-07-2024 13:55:58,3.521s,PASSED
delay(4),Chrome 126.0.0.0,,,09-07-2024 13:55:58,09-07-2024 13:56:02,4.016s,PASSED
,,,,,,,
Test Cases/Wikipedia/Open Bob Marley,Chrome 126.0.0.0,,,09-07-2024 13:56:02,09-07-2024 13:56:16,14.559s,PASSED
"openBrowser(""https://www.wikipedia.org/"")",Chrome 126.0.0.0,,,09-07-2024 13:56:02,09-07-2024 13:56:06,4.278s,PASSED
"setText(findTestObject(""Wikipedia/box wikipedia search""), ""Bob Marley"")",Chrome 126.0.0.0,,,09-07-2024 13:56:06,09-07-2024 13:56:07,0.876s,PASSED
delay(3),Chrome 126.0.0.0,,,09-07-2024 13:56:07,09-07-2024 13:56:10,3.018s,PASSED
"click(findTestObject(""Wikipedia/klik button search""))",Chrome 126.0.0.0,,,09-07-2024 13:56:10,09-07-2024 13:56:12,2.344s,PASSED
delay(4),Chrome 126.0.0.0,,,09-07-2024 13:56:12,09-07-2024 13:56:16,4.019s,PASSED
